icsa_id,icsa_url,icsa_release,icsa_update,icsa_description,icsa_is_update,icsa_vendor,icsa_oneliner
ICSA-10-070-01A,https://www.us-cert.gov/ics/advisories/ICSA-10-070-01A,2010-05-03,2018-08-23,Rockwell Automation RSLinx Classic EDS Vulnerability (Update A),1,Rockwell Automation," A buffer overflow vulnerability exists in the Rockwell Automation RSLinx Classic EDS Hardware Installation Tool (RSHWare.exe). This vulnerability is likely exploitable; however, significant user interaction would be required."
ICSA-10-070-02,https://www.us-cert.gov/ics/advisories/ICSA-10-070-02,2010-03-10,2014-10-23,Rockwell PLC5/SLC5/0x/RSLogix Security Vulnerability,1,Rockwell Automation," Rockwell Automation has identified a security vulnerability in the programming and configuration client software authentication mechanism employed by certain versions of the PLC-5 and SLC 5/0x family of programmable controllers."
ICSA-10-090-01,https://www.us-cert.gov/ics/advisories/ICSA-10-090-01,2010-03-31,2014-01-20,Mariposa Botnet,0,Other," ICS-CERT has received reports and investigated infections of the Mariposaa botnet, which have affected the business networks of multiple control system owners in recent months. ICS-CERT has no information to indicate that these infections have specifically targeted United States Critical Infrastructure and Key Resources (CIKR), or any specific sector or organization."
ICSA-10-097-01,https://www.us-cert.gov/ics/advisories/ICSA-10-097-01,2010-04-27,2018-09-06,ABB NETCADOPS HELP SYSTEM VULNERABILITY,1,ABB," A cross-site scriptinga vulnerability exists in the system used by the ABB Electrical Distribution Management System (DMS) product netCADOPS to generate online Help."
ICSA-10-147-01,https://www.us-cert.gov/ics/advisories/ICSA-10-147-01,2010-05-27,2014-09-09,Cisco Network Building Mediator,1,Cisco," Cisco has identified multiple security vulnerabilitiesa in the Cisco Network Building Mediator (NBM) products. These vulnerabilities also affect the legacy Richards-Zeta Mediator products. The following vulnerabilities have been identified: default credentials, privilege escalation, unauthorized information interception, and unauthorized information access. Successful exploitation of any of these vulnerabilities could result in a malicious user taking complete control over an affected device."
ICSA-10-201-01C,https://www.us-cert.gov/ics/advisories/ICSA-10-201-01C,2010-08-02,2014-01-08,USB Malware Targeting Siemens Control Software (Update C),1,Siemens," VirusBlokAda, an antivirus vendor based in Belarus, announceda the discovery of malware that uses a zero-day vulnerability in Microsoft Windows processing of shortcut files. The malware utilizes this zero-day vulnerability and exploits systems after users open a USB drive with a file manager capable of displaying icons (like Windows Explorer). US-CERT has released a Vulnerability Noteb detailing the vulnerability and suggested workarounds. Microsoft has also released a Security Advisory (2286198)c detailing the previously unknown vulnerability. ICS-CERT has confirmed the malware installs a trojan that interacts with installed SIMATIC® WinCC or SIMATIC® Siemens STEP 7 software and then makes queries to any discovered SIMATIC® databases. The full capabilities of the malware and intent or results of the queries are not yet known. ICS-CERT is coordinating with Siemens CERT, CERT/CC, Microsoft, and other groups both domestically"
ICSA-10-214-01,https://www.us-cert.gov/ics/advisories/ICSA-10-214-01,2010-08-02,2018-09-06,Wind River VxWorks Vulnerabilities,1,Wind River," A security researcher has identified two vulnerabilities affecting the Wind River Systems’ VxWorks platform. The vulnerabilities are a debug service enabled by default (VU#362332) and a weak hashing algorithm used in authentication (VU#840249). ICS-CERT has been coordinating with CERT/CC in alerting control systems vendors of these vulnerabilities. ICS-CERT will continue to coordinate and publish updates as needed."
ICSA-10-228-01,https://www.us-cert.gov/ics/advisories/ICSA-10-228-01,2010-08-16,2013-05-08,Vendor Admin Accounts Warning,0,Other," An asset owner recently notified the ICS-CERT that a vendor support contractor had added an administrative-level account during installation of new control systems software. The support contractor intended the account to be the default used to train their people for all future work on those systems. The addition of an administrative account to an ICS network with the password known by a contract company increases the cybersecurity risk to the asset owner. This advisory highlights existing practices that may adversely impact the cybersecurity of industrial control systems (ICS) environments relative to malicious actors."
ICSA-10-238-01B,https://www.us-cert.gov/ics/advisories/ICSA-10-238-01B,2010-09-15,2014-01-08,Stuxnet Malware Mitigation (Update B),1,Siemens," In July, ICS-CERT published an advisory and a series of updates regarding the Stuxnet malware entitled “ICSA-10-201 USB Malware Targeting Siemens Control Software.” Since then, ICS-CERT has continued analysis of the Stuxnet malware in an effort to determine more about its capabilities and intent. As the analysis has progressed, understanding of the malware sophistication has continued to increase. Stuxnet makes use of a previously unpatched Windows vulnerability and a digitally signed kernel-mode rootkit. There have been two digital certificates used to sign this rootkit. The original certificate was revoked. Subsequently, a second variant was discovered in which the same rootkit was signed with a different key, which has also been revoked. With approximately 4,000 functions, Stuxnet contains as much code as some commercial software products. The complex code is object oriented and employs many programming techniques that demonstrate advanced knowledge in many areas, including the Windows operating system, Microsoft SQL Server, Siemens software, and Siemens PLCs. The malware also employs many advanced anti-analysis techniques that make reverse engineering difficult and time consuming. ICS-CERT has identified that while USB drives appear to be a primary infection mechanism, Stuxnet can also infect systems through network shares and SQL databases. The Stuxnet malware stores dropped files in many locations on a target system. The infection mechanism is complex, and the exact files that may be dropped will vary depending on the system it is infecting. After infecting a system, the malware gathers extensive data from MS SQL server, Windows registry, and application software. Once the malware has installed itself on a system, it employs many evasive techniques, including bypassing antivirus software, advanced process injection, hooking useful functions by kernel-mode rootkits, and the quick removal of temporary files. ICS-CERT is continuing to reverse engineer and analyze this malware. Because of the malware’s complexity, this work is expected to take some time."
ICSA-10-264-01,https://www.us-cert.gov/ics/advisories/ICSA-10-264-01,2010-09-21,2018-09-06,SCADA Engine BACnet OPC Client Buffer Overflow Vulnerability,1,SCADA Engine," This advisory is a follow-up to ICS-ALERT-10-260-01 SCADA Engine BACnet OPC Client Buffer Overflow, which was published on the ICS-CERT Web site on September 17, 2010. A buffer overflow vulnerability has been reporteda in SCADA Engine’s BACnet OPC Client. Using a specially crafted malicious file, this vulnerability could allow an attacker to crash the application and execute arbitrary code. A software update is available that resolves this vulnerability. ICS-CERT is aware that exploit code for this vulnerability is publicly available.b  However, ICS-CERT has not received any reports of the vulnerability being exploited in the wild."
