cwe_id,name,weakness_abstraction,status,description,extended_description,background_details,comments
CWE-1,DEPRECATED: Location,NULL,Deprecated,"This category has been deprecated. It was originally used for organizing the Development View (CWE-699), but it introduced unnecessary complexity and depth to the resulting tree.",NULL,NULL,NULL
CWE-10,DEPRECATED: ASP.NET Environment Issues,NULL,Deprecated,This category has been deprecated. It added unnecessary depth and complexity to its associated views.,NULL,NULL,NULL
CWE-100,DEPRECATED: Technology-Specific Input Validation Problems,NULL,Deprecated,"This category has been deprecated. It was originally intended as a ""catch-all"" for input validation problems in technologies that did not have their own CWE, but introduces unnecessary depth to the hierarchy.",NULL,NULL,NULL
CWE-1001,SFP Secondary Cluster: Use of an Improper API,NULL,Incomplete,This category identifies Software Fault Patterns (SFPs) within the Use of an Improper API cluster.,NULL,NULL,NULL
CWE-1002,SFP Secondary Cluster: Unexpected Entry Points,NULL,Incomplete,This category identifies Software Fault Patterns (SFPs) within the Unexpected Entry Points cluster.,NULL,NULL,NULL
CWE-1004,Sensitive Cookie Without 'HttpOnly' Flag,Variant,Incomplete,"The software uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.","The HttpOnly flag directs compatible browsers to prevent client-side script from accessing cookies. Including the HttpOnly flag in the Set-Cookie HTTP response header helps mitigate the risk associated with Cross-Site Scripting (XSS) where an attacker's script code might attempt to read the contents of a cookie and exfiltrate information obtained. When set, browsers that support the flag will not reveal the contents of the cookie to a third party via client-side script executed via XSS.","An HTTP cookie is a small piece of data attributed to a specific website and stored on the user's computer by the user's web browser. This data can be leveraged for a variety of purposes including saving information entered into form fields, recording user activity, and for authentication purposes. Cookies used to save or record information generated by the user are accessed and modified by script code embedded in a web page. While cookies used for authentication are created by the website's server and sent to the user to be attached to future requests. These authentication cookies are often not meant to be accessed by the web page sent to the user, and are instead just supposed to be attached to future requests to verify authentication details.",NULL
CWE-1005,7PK - Input Validation and Representation,NULL,Draft,"This category represents one of the phyla in the Seven Pernicious Kingdoms vulnerability classification. It includes weaknesses that exist when an application does not properly validate or represent input. According to the authors of the Seven Pernicious Kingdoms, ""Input validation and representation problems are caused by metacharacters, alternate encodings and numeric representations. Security problems result from trusting input.""",NULL,NULL,NULL
CWE-1006,Bad Coding Practices,NULL,Draft,"Weaknesses in this category are related to coding practices that are deemed unsafe and increase the chances that an exploitable vulnerability will be present in the application. These weaknesses do not directly introduce a vulnerability, but indicate that the product has not been carefully developed or maintained. If a program is complex, difficult to maintain, not portable, or shows evidence of neglect, then there is a higher likelihood that weaknesses are buried in the code.",NULL,NULL,NULL
CWE-1007,Insufficient Visual Distinction of Homoglyphs Presented to User,Base,Incomplete,"The software displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action.","Some glyphs, pictures, or icons can be semantically distinct to a program, while appearing very similar or identical to a human user. These are referred to as homoglyphs. For example, the lowercase ""l"" (ell) and uppercase ""I"" (eye) have different character codes, but these characters can be displayed in exactly the same way to a user, depending on the font. This can also occur between different character sets. For example, the Latin capital letter ""A"" and the Greek capital letter ""?"" (Alpha) are treated as distinct by programs, but may be displayed in exactly the same way to a user. Accent marks may also cause letters to appear very similar, such as the Latin capital letter grave mark ""À"" and its equivalent ""À"" with the acute accent.
            Adversaries can exploit this visual similarity for attacks such as phishing, e.g. by providing a link to an attacker-controlled hostname that looks like a hostname that the victim trusts. In a different use of homoglyphs, an adversary may create a back door username that is visually similar to the username of a regular user, which then makes it more difficult for a system administrator to detect the malicious username while reviewing logs.",NULL,NULL
CWE-1009,Audit,NULL,Draft,Weaknesses in this category are related to the design and architecture of audit-based components of the system. Frequently these deal with logging user activities in order to identify attackers and modifications to the system. The weaknesses in this category could lead to a degradation of the quality of the audit capability if they are not addressed when designing or implementing a secure architecture.,NULL,NULL,NULL
CWE-101,DEPRECATED: Struts Validation Problems,NULL,Deprecated,"This category has been deprecated. It was originally used for organizing the Development View (CWE-69 9), but it introduced unnecessary complexity and depth to the resulting tree.",NULL,NULL,NULL
